Timestamp,Consinto em participar da pesquisa:,Qual sua idade?,Qual seu gênero?,Qual sua escolaridade mais alta?,Qual é sua principal ocupação atualmente?,"Se você respondeu ""Outra"" na pergunta anterior, diga qual.",Qual sua área de atuação?,"Sobre ferramentas para geração de gráficos, marque todas as que já utilizou ou conhece. ","Sobre orçamentos públicos, marque  todas as fontes de dados que você conhece ou já acessou. ",Learning how to use Orcspace would be easy for me,Q1,Eu acho que seria fácil usar o Orcspace para fazer as consultas que eu gostaria de fazer.,Q2,Eu acho que minha interação com o Orcspace seria clara e compreensível.,Q4,Eu acho que a interação com o Orcspace seria flexível.,Q5,Eu acho que seria fácil me tornar habilidoso no uso do Orcspace.,Q6,Eu acharia fácil de usar o Orcspace.,Q7,Usar Orcspace nas minhas atividades possibilitaria a execução de tarefas de entender orçamento mais rapidamente.,Q8,Usar Orcspace melhoraria meu desempenho nas atividades que tenho que realizar do orçamento.,Q9,Usar Orcspace nas minhas atividades aumentaria minha produtividade de entender o orçamento.,Q10,Usar Orcspace nas minhas atividades aumentaria minha efetividade de entender o orçamento.,Q11,Usar Orcspace tornaria fácil executar as minhas atividades de entender o orçamento. ,Q12,Usar o Orcspace nas minhas atividades de entender o orçamento seria útil.,Q13,Quão visualmente atraente você achou a interface da aplicação? ,Q14,Você acha que o esquema de cores ajudou você a compreender as informações?,"Existem elementos na interface que você achou confuso? Se sim, quais? ",Quão claros e informativos você julga os gráficos utilizados para representar os dados do orçamento?,Quais gráficos ou representações você achou útil?,Quais funcionalidades você achou mais importante na aplicação?,Você usaria ou recomendaria esta aplicação para quem precisa entender o orçamento público brasileiro?,"Compartilhe quaisquer comentários ou sugestões adicionais que você tenha em relação à usabilidade, design ou representação de dados do painel do orçamento federal. Existem áreas específicas que poderiam ser melhoradas ou novos recursos que poderiam melhorar sua experiência?"
10/23/2024 15:07:41,Sim,25,Masculino,Ensino superior completo,Estudante de mestrado,,,"PoweBI, D3.js, Outra(s)","Portal da transparência (federal), Portais municipais",2,Very likely,2,Very likely,1,Extremely likely,2,Very likely,1,Extremely likely,2,Very likely,3,Likely,4,Neutral,2,Very likely,2,Very likely,2,Very likely,3,Likely,4,Neutral,Sim,Um pouco relacionado a noticias e notificações,5,"Gráfico de barras, Gráfico de linha",O chatbot e o calendário,Sim,"Explicar o significado das siglas, com uma breve descrição."
10/23/2024 17:01:16,Sim,23,Masculino,Ensino superior completo,Estudante de mestrado,,,"Tableau, PoweBI",Portal da transparência (federal),1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,5,Unlikely,Sim,Não,4,"Gráfico de barras, Gráfico de linha",Chatbot,Sim,Nada a adicionar
10/23/2024 18:07:30,Sim,31,Masculino,Ensino superior completo,Estudante de mestrado,,,Outra(s),Portal da transparência (federal),1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,2,Very likely,1,Extremely likely,1,Extremely likely,3,Likely,2,Very likely,1,Extremely likely,5,Unlikely,Sim,"A interface é bem intuitiva, não achei nada confuso",5,"Gráfico de barras, Gráfico de pizza, Gráfico de linha",O chat é uma boa forma de me guiar pelas funcionalidades da aplicação e a interface é bem limpa e fácil de interagir,Sim,"Poderia ter mais formas de interação com os gráficos, para facilitar a visualização com mais detalhes "
10/23/2024 21:26:16,Sim,26,Masculino,Doutorado,"Estudante de doutorado, Analista ou desenvolvedor na área de TI",,,PoweBI,Portal da transparência (federal),1,Extremely likely,1,Extremely likely,3,Likely,4,Neutral,2,Very likely,1,Extremely likely,6,Very unlikely,6,Very unlikely,6,Very unlikely,6,Very unlikely,6,Very unlikely,6,Very unlikely,3,Likely,Sim,"Não, achei bem intuitivo a interface",5,"Gráfico de barras, Gráfico de linha",A navegabilidade por chat torna a aplicação muito intuitiva e amigável de usar,Sim,"Gráficos de orçamento público por estado, para poder ver onde são destinados os recursos em cada estado, seria bem util"
10/24/2024 15:05:32,Sim,25,Masculino,Ensino médio completo,Estudante de graduação,,,Outra(s),Outra(s),2,Very likely,2,Very likely,4,Neutral,3,Likely,2,Very likely,3,Likely,3,Likely,4,Neutral,2,Very likely,5,Unlikely,4,Neutral,3,Likely,2,Very likely,Não,"O painel de posts, não entendi a finalidade de postar algo.",3,"Gráfico de barras, Gráfico de pizza, Tabelas",O ajudante AI,Sim,Acho que a UI poderia ser um pouco mais limpa.
10/25/2024 10:19:41,Sim,35,Masculino,Ensino superior completo,Analista ou desenvolvedor na área de TI,,,"PoweBI, D3.js",Portal da transparência (federal),1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,2,Very likely,Sim,Não,5,"Gráfico de barras, Gráfico de pizza, Gráfico de linha",Visualização de dados,Sim,Poderia ter um menu mais explícito. 
10/26/2024 7:47:34,Sim,26,Feminino,Mestrado,Estudante de doutorado,,,Nenhuma,"Portal da transparência (federal), Tribunal de Contas da União",1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,5,Unlikely,Sim,Não,5,"Gráfico de barras, Gráfico de linha",A fácil comunicação com o chat para mostrar as informações que preciso,Sim,"Achei a interface bem simples e fácil de usar, os gráficos são claros, com legenda, de fácil entendimento"
10/28/2024 14:31:37,Sim,26,Feminino,Ensino superior completo,"Estudante de mestrado, Analista ou desenvolvedor na área de TI",,,"PoweBI, Infogram","Portal da transparência (federal), Tribunal de Contas da União",1,Extremely likely,2,Very likely,1,Extremely likely,2,Very likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,2,Very likely,1,Extremely likely,1,Extremely likely,2,Very likely,1,Extremely likely,5,Unlikely,Sim,"A aplicação utiliza elementos bem consolidados para compor a interface, não achei confuso.",4,"Gráfico de barras, Gráfico de pizza, Gráfico de linha","Achei muito boa a funcionalidade de extrair informações de um texto e mostrar de forma gráfica e, também, o fato do assistente digital saber o contexto do que o usuário está fazendo na tela, proporcionando uma interação mais fluida!",Sim,Muito criativo o assistente virtual da aplicação!
10/29/2024 11:27:32,Sim,28,Masculino,Ensino superior completo,Analista ou desenvolvedor na área de TI,,,"PoweBI, D3.js","Portal da transparência (federal), Portais municipais",1,Extremely likely,2,Very likely,2,Very likely,2,Very likely,2,Very likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,4,Neutral,Sim,Não fiquei confuso com os elementos,5,"Gráfico de barras, Gráfico de linha","A visualização de gráficos relacionados ao orçamento público, com possibilidade de personalizar a visualização.  Também achei importante as notificações de eventos no calendário.",Sim,"Em relação a design, acho que seria interessante um tema escuro para a aplicação."
10/30/2024 12:50:49,Sim,25,Masculino,Mestrado,Estudante de doutorado,,,"Tableau, PoweBI","Portal da transparência (federal), Dados abertos, Tribunal de Contas da União",1,Extremely likely,2,Very likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,1,Extremely likely,2,Very likely,1,Extremely likely,2,Very likely,1,Extremely likely,2,Very likely,2,Very likely,4,Neutral,Sim,Barra lateral com simbolos mas sem legendas(não á como saber oque cada simbolo significa),4,"Gráfico de barras, Gráfico de linha",integração entre a noticia e bases de dados de orçamento,Sim,não
